# Electron linewidth = 2*Im(Sigma) (meV)
#      ik       ibnd                 E(ibnd)      Im(Sigma)(meV)
      119         11   -0.11684612231659E+00    0.10456497414698E+02
      119         12   -0.11684478413083E+00    0.10456497414698E+02
      120         11   -0.11666596702194E+00    0.10369713893629E+02
      120         12   -0.11666462612823E+00    0.10369713893629E+02
      121         11    0.20088204615863E-01    0.82670932153234E+01
      121         12    0.60586334043837E-01    0.84572479323785E+01
      122         11    0.40151791482054E-01    0.89597082937814E+01
      122         12    0.78574274225615E-01    0.90211194943275E+01
      123         11    0.96486315910865E-01    0.87747687433598E+01
      123         12    0.13050953023478E+00    0.70030817409812E+01
      124         11   -0.11236364270375E+00    0.10435016616419E+02
      124         12    0.11014071287171E+01    0.19948223544486E+01
      125         11   -0.11509169642323E+00    0.10537726154725E+02
      125         12    0.11048818699364E+01    0.22856336060137E+01
      126         11   -0.16517329166458E+01    0.63036516377622E+00
      126         12   -0.58762585150104E-01    0.55951578232191E+01
      127         11   -0.17216353660150E+01    0.42742707987680E+00
      127         12    0.88924961051695E-01    0.10346902917934E+02
      128         11    0.88591445864717E-01    0.96591863767498E+01
      128         12    0.12648729583225E+01    0.15185855973241E+01
      129         11    0.85842158613461E-01    0.97768803610199E+01
      129         12    0.12680150293595E+01    0.17012662670904E+01
      130         11   -0.17213662163102E+01    0.42861267509378E+00
      130         12    0.88220545249897E-01    0.10363029355733E+02
      131         11   -0.16508946846299E+01    0.64337434972872E+00
      131         12   -0.60852538698006E-01    0.55729199396436E+01
      132         11   -0.15733725483325E+01    0.87074334812816E+00
      132         12   -0.36464699391555E-01    0.55231807454917E+01
      133         11   -0.10683001940630E+00    0.10148633183916E+02
      133         12    0.18426068775671E+01    0.21370982574487E+01
      134         11   -0.10576983547224E+00    0.10053386363765E+02
      134         12    0.18423505512576E+01    0.21378747556813E+01
      135         11   -0.15724609657074E+01    0.83738763953158E+00
      135         12   -0.33697182689128E-01    0.57490709708775E+01
      136         11   -0.11847207124516E+01    0.40833222336979E+00
      136         12   -0.86566867233829E-02    0.69178854948224E+01
      137         11   -0.11850652534539E+01    0.40212158843338E+00
      137         12   -0.93345977155357E-02    0.68935763435840E+01
      138         11   -0.82297228582656E+00    0.13029370846144E+01
      138         12   -0.19155265130403E+00    0.10489520364885E+02
      139         11   -0.64891214965024E+00    0.15040621103894E+01
      139         12    0.50177992643774E-01    0.79379620777515E+01
      140         11   -0.64955591440901E+00    0.14835408515242E+01
      140         12    0.49387658046550E-01    0.79437237816698E+01
      141         11   -0.82368077332722E+00    0.13129301888887E+01
      141         12   -0.19240638192539E+00    0.10468752586086E+02
      142         11   -0.93566615777323E-01    0.82954783291033E+01
      142         12   -0.93564570535407E-01    0.82954783291033E+01
      143         11   -0.93566615709953E-01    0.82680616655974E+01
      143         12   -0.93564570457931E-01    0.82680616655974E+01
      144         11    0.13686683693836E+00    0.71594395168768E+01
      144         12    0.16085298119854E+00    0.91285776578551E+01
      145         11   -0.59760693946432E-01    0.55136963048602E+01
      145         12    0.11987076782222E+01    0.24525001797936E+01
      146         11   -0.58363061465590E-01    0.54898004711560E+01
      146         12    0.11968303488685E+01    0.24875996168020E+01
      147         11    0.14042940729357E+00    0.75008566007370E+01
      147         12    0.13803453986290E+01    0.34080723287503E+01
      148         11    0.14188482043033E+00    0.74592800440197E+01
      148         12    0.13784525399021E+01    0.32878025437715E+01
      149         11   -0.15702426959054E+01    0.81810619356342E+00
      149         12    0.90682002359718E-01    0.10973433222616E+02
      150         11   -0.15878354594196E+01    0.11210153514048E+01
      150         12    0.12672715495462E+00    0.73442476962061E+01
      151         11   -0.81263796063495E-01    0.73924804988036E+01
      151         12    0.22820571775307E+01    0.64490124748908E+01
      152         11   -0.81946863495760E-01    0.76219462571422E+01
      152         12    0.22828439641547E+01    0.62965506001691E+01
